set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.07581035,0.011079148531170008,3
test,1,12,0.19564024,0.022799405878396423,3
test,1,13,0.38394478,0.021275209245775483,3
test,1,14,0.6620591,0.047954091776586334,3
test,1,15,0.7943015,0.05605509542069901,3
test,1,16,0.9387098,0.02556059448729027,3
test,2,11,0.080289006,0.006482613316809474,3
test,2,12,0.20584187,0.024538383505160116,3
test,2,13,0.4028346,0.036223856244488095,3
test,2,14,0.63413954,0.07513012332612863,3
test,2,15,0.81684184,0.042416097542423904,3
test,2,16,0.9269831,0.021899443748513485,3
test,3,11,0.018596878,0.011008663374462276,3
test,3,12,0.07978455,0.02209195514704219,3
test,3,13,0.29737148,0.052053577208259934,3
test,3,14,0.6843943,0.04220852625140801,3
test,3,15,0.8948891,0.036137259790613004,3
test,3,16,0.9762406,0.011940285320939669,3
test,4,11,0.015712114,0.004454895925958643,3
test,4,12,0.07486061,0.028355977612801255,3
test,4,13,0.26017588,0.03948774335300632,3
test,4,14,0.6587864,0.03683843556750122,3
test,4,15,0.8873583,0.03323995039838723,3
test,4,16,0.9709565,0.012444880010687238,3
test,5,11,0.024334585,0.014860613211443661,3
test,5,12,0.15579824,0.03240737710162729,3
test,5,13,0.3719736,0.042161087218594386,3
test,5,14,0.70388985,0.05223894454813001,3
test,5,15,0.9131142,0.028719706942238184,3
train,1,11,0.040473852,0.005531471242660351,3
train,1,12,0.099564776,0.02836025479598348,3
train,1,13,0.26303026,0.09598176438926916,3
train,1,14,0.8056883,0.028070863834740056,3
train,1,15,0.90959615,0.008630348875473027,3
train,1,16,0.97139543,0.008436399091815563,3
train,2,11,0.037911184,0.013955806860863942,3
train,2,12,0.10984911,0.05439095256215233,3
train,2,13,0.25082693,0.1018607103171983,3
train,2,14,0.7771267,0.0260731205815222,3
train,2,15,0.89776516,0.004796366014962754,3
train,2,16,0.96800584,0.005063392062078214,3
train,3,11,0.0124694,0.007407763060666566,3
train,3,12,0.05411711,0.026883667644230787,3
train,3,13,0.2492146,0.08272611450985784,3
train,3,14,0.77077764,0.0071475190338483935,3
train,3,15,0.9425517,0.004839916399875797,3
train,3,16,0.9869341,0.003555497597322915,3
train,4,11,0.009002561,0.005148385025604703,3
train,4,12,0.05166742,0.028402165573683857,3
train,4,13,0.20612827,0.08156005417853344,3
train,4,14,0.7509831,0.013227200235090813,3
train,4,15,0.93137866,0.004928145119939946,3
train,4,16,0.98612624,0.003220884890542911,3
train,5,11,0.01759918,0.01246665346980938,3
train,5,12,0.093129724,0.03882887208553183,3
train,5,13,0.27359042,0.09515601775587419,3
train,5,14,0.8058768,0.013845822937907095,3
train,5,15,0.9452956,0.00609653410019654,3
