,set,dec_accuracy,rate_loss,subject,model_name,dataset_name
0,test,0.9827,0.14439381659030914,0,early_integration,easy
1,train,0.993675,0.10129675269126892,0,early_integration,easy
0,test,0.987,0.16056247055530548,1,early_integration,easy
1,train,0.99465,0.11639024317264557,1,early_integration,easy
0,test,0.986,0.18287712335586548,2,early_integration,easy
1,train,0.993,0.15848205983638763,2,early_integration,easy
0,test,0.9474,0.4111415445804596,0,early_integration,medium
1,train,0.974425,0.3191235661506653,0,early_integration,medium
0,test,0.9396,0.4541674852371216,1,early_integration,medium
1,train,0.95205,0.41196513175964355,1,early_integration,medium
0,test,0.9486,0.41394171118736267,2,early_integration,medium
1,train,0.9767,0.3187050223350525,2,early_integration,medium
0,test,0.893,0.7379398345947266,0,early_integration,hard
1,train,0.9377,0.5097336769104004,0,early_integration,hard
0,test,0.8911,0.7749159932136536,1,early_integration,hard
1,train,0.956,0.3498053252696991,1,early_integration,hard
0,test,0.8988,0.7203186750411987,2,early_integration,hard
1,train,0.960075,0.46309757232666016,2,early_integration,hard
0,test,0.703,2.009779930114746,0,early_integration,very_hard
1,train,0.79085,1.3320817947387695,0,early_integration,very_hard
0,test,0.6399,3.1466808319091797,1,early_integration,very_hard
1,train,0.85585,1.3189036846160889,1,early_integration,very_hard
0,test,0.6723,2.634108066558838,2,early_integration,very_hard
1,train,0.83395,1.3980381488800049,2,early_integration,very_hard
0,test,0.9472,0.3497850000858307,0,intermediate_integration,easy
1,train,0.976025,0.2755652070045471,0,intermediate_integration,easy
0,test,0.9544,0.2605464458465576,1,intermediate_integration,easy
1,train,0.975575,0.18504704535007477,1,intermediate_integration,easy
0,test,0.952,0.28403136134147644,2,intermediate_integration,easy
1,train,0.96975,0.25159189105033875,2,intermediate_integration,easy
0,test,0.8856,0.5334703922271729,0,intermediate_integration,medium
1,train,0.934025,0.38872507214546204,0,intermediate_integration,medium
0,test,0.8937,0.47915536165237427,1,intermediate_integration,medium
1,train,0.909275,0.4367835819721222,1,intermediate_integration,medium
0,test,0.8849,0.5435460209846497,2,intermediate_integration,medium
1,train,0.934425,0.3923436999320984,2,intermediate_integration,medium
0,test,0.8514,0.8463234305381775,0,intermediate_integration,hard
1,train,0.889825,0.6684296131134033,0,intermediate_integration,hard
0,test,0.8182,1.173542857170105,1,intermediate_integration,hard
1,train,0.920575,0.6029276847839355,1,intermediate_integration,hard
0,test,0.8254,0.9800752997398376,2,intermediate_integration,hard
1,train,0.907875,0.5777817964553833,2,intermediate_integration,hard
0,test,0.6355,2.9478259086608887,0,intermediate_integration,very_hard
1,train,0.82875,1.4536212682724,0,intermediate_integration,very_hard
0,test,0.6747,2.00191593170166,1,intermediate_integration,very_hard
1,train,0.725775,1.768264889717102,1,intermediate_integration,very_hard
0,test,0.6467,2.9127445220947266,2,intermediate_integration,very_hard
1,train,0.831575,1.4289062023162842,2,intermediate_integration,very_hard
0,test,0.9439,0.29582762718200684,0,late_integration,easy
1,train,0.97405,0.20425966382026672,0,late_integration,easy
0,test,0.9496,0.279591828584671,1,late_integration,easy
1,train,0.97415,0.20388074219226837,1,late_integration,easy
0,test,0.9446,0.2994425296783447,2,late_integration,easy
1,train,0.977775,0.18056941032409668,2,late_integration,easy
0,test,0.8918,0.5586943626403809,0,late_integration,medium
1,train,0.952175,0.3205905556678772,0,late_integration,medium
0,test,0.879,0.7241668105125427,1,late_integration,medium
1,train,0.9329,0.5014397501945496,1,late_integration,medium
0,test,0.883,0.8013514280319214,2,late_integration,medium
1,train,0.9429,0.5209285020828247,2,late_integration,medium
0,test,0.821,1.1137994527816772,0,late_integration,hard
1,train,0.912325,0.6070036888122559,0,late_integration,hard
0,test,0.8197,1.3418571949005127,1,late_integration,hard
1,train,0.926475,0.6140300631523132,1,late_integration,hard
0,test,0.8338,1.0105292797088623,2,late_integration,hard
1,train,0.91285,0.6446089148521423,2,late_integration,hard
0,test,0.6359,3.421630859375,0,late_integration,very_hard
1,train,0.848675,1.5177329778671265,0,late_integration,very_hard
0,test,0.6511,2.8162336349487305,1,late_integration,very_hard
1,train,0.8281,1.4616719484329224,1,late_integration,very_hard
0,test,0.6216,3.3036715984344482,2,late_integration,very_hard
1,train,0.850325,1.3975945711135864,2,late_integration,very_hard
